id,fio,flat_id,move_in_date,move_out_date
1,Денисов Арсений Алексеевич,897,2024-11-20,2077-01-01
2,Киселёв Ирина Владимировна,868,2023-07-20,2077-01-01
3,Ковалёв Екатерина Павловна,868,2023-08-19,2077-01-01
4,Тимофеев Сергей Михайлович,590,2022-06-29,2077-01-01
5,Миронова Елизавета Александровна,590,2022-07-29,2077-01-01
6,Козлов Егор Петрович,590,2022-08-28,2077-01-01
7,Боброва Варвара Петровна,46,2023-01-13,2077-01-01
8,Павлов Дмитрий Павлович,46,2023-02-12,2077-01-01
9,Ильина Виктория Владимировна,46,2023-03-14,2077-01-01
10,Волков Матвей Владимирович,46,2023-04-13,2077-01-01
11,Герасимов Виктор Александрович,822,2021-04-08,2077-01-01
12,Давыдов Виктор Владимирович,953,2022-11-25,2077-01-01
13,Новиков Егор Дмитриевич,953,2022-12-25,2077-01-01
14,Дорофеева Татьяна Ивановна,520,2021-11-05,2077-01-01
15,Ширяева Валентина Николаевна,520,2021-12-05,2077-01-01
16,Фёдоров Михаил Дмитриевич,520,2022-01-04,2077-01-01
17,Лебедева Полина Ивановна,680,2022-05-14,2077-01-01
18,Романов Алексей Михайлович,680,2022-06-13,2077-01-01
19,Иванова Елена Дмитриевна,680,2022-07-13,2077-01-01
20,Соболева Светлана Сергеевна,680,2022-08-12,2077-01-01
21,Коновалова Александра Евгеньевна,411,2023-12-30,2077-01-01
22,Сергеев Артём Евгеньевич,257,2024-11-18,2077-01-01
23,Фомин Олег Алексеевич,257,2024-12-18,2077-01-01
24,Михайлова Людмила Алексеевна,851,2023-06-01,2077-01-01
25,Рябов Николай Дмитриевич,851,2023-07-01,2077-01-01
26,Захаров Иван Александрович,851,2023-07-31,2077-01-01
27,Николаева Наталья Павловна,330,2021-12-30,2077-01-01
28,Орлов Матвей Иванович,330,2022-01-29,2077-01-01
29,Суханова Ольга Андреевна,330,2022-02-28,2077-01-01
30,Максимов Тимофей Евгеньевич,330,2022-03-30,2077-01-01
31,Рябов Роман Петрович,137,2023-11-27,2077-01-01
32,Захаров Игорь Владимирович,938,2023-08-19,2077-01-01
33,Осипова Татьяна Петровна,938,2023-09-18,2077-01-01
34,Егоров Тимофей Алексеевич,386,2022-12-01,2077-01-01
35,Лазарев Евгений Иванович,386,2022-12-31,2077-01-01
36,Шестакова Елизавета Дмитриевна,386,2023-01-30,2077-01-01
37,Семёнов Кирилл Сергеевич,60,2023-09-21,2077-01-01
38,Попов Виктор Михайлович,60,2023-10-21,2077-01-01
39,Кузнецова Любовь Алексеевна,60,2023-11-20,2077-01-01
40,Сорокин Павел Михайлович,60,2023-12-20,2077-01-01
41,Фролов Максим Александрович,711,2021-09-25,2077-01-01
42,Тимофеев Иван Александрович,943,2021-05-04,2077-01-01
43,Филиппов Владимир Николаевич,943,2021-06-03,2077-01-01
44,Ершов Илья Андреевич,197,2024-05-13,2077-01-01
45,Рябов Виктор Сергеевич,197,2024-06-12,2077-01-01
46,Орлов Сергей Дмитриевич,197,2024-07-12,2077-01-01
47,Тарасов Матвей Николаевич,269,2021-10-05,2077-01-01
48,Борисов Артём Евгеньевич,269,2021-11-04,2077-01-01
49,Воробьёв Арсений Александрович,269,2021-12-04,2077-01-01
50,Богданов Александр Алексеевич,269,2022-01-03,2077-01-01
51,Гусева Ирина Евгеньевна,234,2024-09-12,2077-01-01
52,Волкова Варвара Алексеевна,969,2022-01-31,2077-01-01
53,Никитин Александр Михайлович,969,2022-03-02,2077-01-01
54,Яковлев Михаил Евгеньевич,71,2021-05-08,2077-01-01
55,Антонов Владимир Дмитриевич,71,2021-06-07,2077-01-01
56,Боброва Валентина Николаевна,71,2021-07-07,2077-01-01
57,Фёдорова Дарья Сергеевна,277,2021-01-23,2077-01-01
58,Лазарева Алёна Петровна,277,2021-02-22,2077-01-01
59,Журавлёв Галина Дмитриевна,277,2021-03-24,2077-01-01
60,Бобров Максим Андреевич,277,2021-04-23,2077-01-01
61,Белов Егор Петрович,434,2023-12-29,2077-01-01
62,Морозов Тимофей Андреевич,547,2022-09-03,2077-01-01
63,Иванов Олег Евгеньевич,547,2022-10-03,2077-01-01
64,Федотов Дмитрий Сергеевич,183,2024-03-19,2077-01-01
65,Степанов Андрей Александрович,183,2024-04-18,2077-01-01
66,Медведева Надежда Алексеевна,183,2024-05-18,2077-01-01
67,Белоусова Татьяна Павловна,206,2021-01-27,2077-01-01
68,Сорокина Ольга Владимировна,206,2021-02-26,2077-01-01
69,Белова Виктория Евгеньевна,206,2021-03-28,2077-01-01
70,Гусева Вера Павловна,206,2021-04-27,2077-01-01
71,Фёдоров Иван Александрович,750,2024-10-19,2077-01-01
72,Соловьёв Мария Ивановна,699,2021-10-19,2077-01-01
73,Захаров Артём Андреевич,699,2021-11-18,2077-01-01
74,Волкова Татьяна Михайловна,698,2024-06-01,2077-01-01
75,Беляева Мария Ивановна,698,2024-07-01,2077-01-01
76,Андреев Марк Владимирович,698,2024-07-31,2077-01-01
77,Пономарёв Валентина Дмитриевна,844,2023-01-24,2077-01-01
78,Казаков Лев Михайлович,844,2023-02-23,2077-01-01
79,Давыдова София Сергеевна,844,2023-03-25,2077-01-01
80,Казаков Арсений Павлович,844,2023-04-24,2077-01-01
81,Белоусова Анастасия Владимировна,859,2021-03-16,2077-01-01
82,Рябова Елизавета Сергеевна,521,2022-08-14,2077-01-01
83,Комаров Роман Андреевич,521,2022-09-13,2077-01-01
84,Марков Максим Владимирович,37,2023-12-25,2077-01-01
85,Сергеев Иван Михайлович,37,2024-01-24,2077-01-01
86,Ширяев Арсений Петрович,37,2024-02-23,2077-01-01
87,Иванова Александра Алексеевна,119,2023-01-09,2077-01-01
88,Соловьёв Валентина Владимировна,119,2023-02-08,2077-01-01
89,Комаров Кирилл Иванович,119,2023-03-10,2077-01-01
90,Антонов Дмитрий Николаевич,119,2023-04-09,2077-01-01
91,Зайцев Лев Сергеевич,106,2021-03-08,2077-01-01
92,Смирнова Ольга Евгеньевна,972,2022-03-01,2077-01-01
93,Александров Михаил Алексеевич,972,2022-03-31,2077-01-01
94,Яковлев Михаил Иванович,141,2021-03-16,2077-01-01
95,Сорокин Михаил Сергеевич,141,2021-04-15,2077-01-01
96,Рябов Игорь Александрович,141,2021-05-15,2077-01-01
97,Семёнов Егор Павлович,112,2024-05-08,2077-01-01
98,Крылова Кристина Владимировна,112,2024-06-07,2077-01-01
99,Николаев Александр Владимирович,112,2024-07-07,2077-01-01
100,Боброва Наталья Андреевна,112,2024-08-06,2077-01-01
101,Миронов Евгений Дмитриевич,120,2024-09-12,2077-01-01
102,Александров Лев Сергеевич,789,2023-03-07,2077-01-01
103,Фролова Мария Андреевна,789,2023-04-06,2077-01-01
104,Романов Михаил Андреевич,677,2024-06-13,2077-01-01
105,Королёв Наталья Евгеньевна,677,2024-07-13,2077-01-01
106,Николаев Матвей Иванович,677,2024-08-12,2077-01-01
107,Белоусова Александра Ивановна,863,2021-04-28,2077-01-01
108,Захаров Сергей Александрович,863,2021-05-28,2077-01-01
109,Ширяев Владимир Николаевич,863,2021-06-27,2077-01-01
110,Журавлёв Вера Владимировна,863,2021-07-27,2077-01-01
111,Герасимова Виктория Михайловна,39,2022-06-14,2077-01-01
112,Кудрявцева Кристина Андреевна,760,2022-01-14,2077-01-01
113,Казаков Виктор Владимирович,760,2022-02-13,2077-01-01
114,Козлова Анна Петровна,118,2024-06-02,2077-01-01
115,Никифоров Максим Владимирович,118,2024-07-02,2077-01-01
116,Антонова Людмила Михайловна,118,2024-08-01,2077-01-01
117,Тарасов Михаил Сергеевич,259,2023-02-10,2077-01-01
118,Калинин Максим Александрович,259,2023-03-12,2077-01-01
119,Алексеева Наталья Андреевна,259,2023-04-11,2077-01-01
120,Морозов Никита Дмитриевич,259,2023-05-11,2077-01-01
121,Соловьёв Илья Петрович,352,2021-03-20,2077-01-01
122,Андреев Игорь Павлович,682,2022-07-25,2077-01-01
123,Морозова София Андреевна,682,2022-08-24,2077-01-01
124,Никифорова Елена Дмитриевна,178,2024-06-28,2077-01-01
125,Гусева Анастасия Михайловна,178,2024-07-28,2077-01-01
126,Ширяев Лев Сергеевич,178,2024-08-27,2077-01-01
127,Калинина Елизавета Александровна,676,2020-12-30,2077-01-01
128,Фёдорова Ирина Алексеевна,676,2021-01-29,2077-01-01
129,Семёнова Марина Александровна,676,2021-02-28,2077-01-01
130,Калинина Варвара Николаевна,676,2021-03-30,2077-01-01
131,Антонов Андрей Иванович,759,2021-04-10,2077-01-01
132,Зайцева Ирина Петровна,705,2020-12-12,2077-01-01
133,Комарова Кристина Ивановна,705,2021-01-11,2077-01-01
134,Поляков Руслан Алексеевич,512,2024-06-21,2077-01-01
135,Виноградов Андрей Александрович,512,2024-07-21,2077-01-01
136,Анисимов Игорь Дмитриевич,512,2024-08-20,2077-01-01
137,Соловьёв Татьяна Ивановна,79,2023-04-07,2077-01-01
138,Дорофеев Тимофей Дмитриевич,79,2023-05-07,2077-01-01
139,Тимофеева Алёна Павловна,79,2023-06-06,2077-01-01
140,Жуков Матвей Александрович,79,2023-07-06,2077-01-01
141,Сидоров Константин Сергеевич,134,2024-05-31,2077-01-01
142,Дмитриева Вера Дмитриевна,189,2023-12-05,2077-01-01
143,Богданов Марк Иванович,189,2024-01-04,2077-01-01
144,Сидорова Дарья Дмитриевна,239,2024-06-11,2077-01-01
145,Петрова Юлия Андреевна,239,2024-07-11,2077-01-01
146,Матвеев Артём Петрович,239,2024-08-10,2077-01-01
147,Антонов Никита Сергеевич,494,2023-07-04,2077-01-01
148,Тарасова София Владимировна,494,2023-08-03,2077-01-01
149,Новиков Матвей Александрович,494,2023-09-02,2077-01-01
150,Анисимова Ольга Петровна,494,2023-10-02,2077-01-01
151,Яковлев Игорь Павлович,639,2020-12-30,2077-01-01
152,Тимофеев Иван Дмитриевич,264,2023-10-07,2077-01-01
153,Веселов Денис Петрович,264,2023-11-06,2077-01-01
154,Александров Евгений Александрович,48,2020-12-31,2077-01-01
155,Ильин Денис Павлович,48,2021-01-30,2077-01-01
156,Соколов Игорь Алексеевич,48,2021-03-01,2077-01-01
157,Веселова Валентина Сергеевна,484,2021-12-03,2077-01-01
158,Соколов Даниил Николаевич,484,2022-01-02,2077-01-01
159,Фомина Наталья Павловна,484,2022-02-01,2077-01-01
160,Денисов Тимофей Евгеньевич,484,2022-03-03,2077-01-01
161,Фёдорова Валентина Евгеньевна,383,2024-02-05,2077-01-01
162,Зайцева Варвара Дмитриевна,370,2022-07-07,2077-01-01
163,Миронов Никита Андреевич,370,2022-08-06,2077-01-01
164,Смирнов Алексей Николаевич,261,2023-07-06,2077-01-01
165,Козлова Людмила Михайловна,261,2023-08-05,2077-01-01
166,Борисова Кристина Дмитриевна,261,2023-09-04,2077-01-01
167,Сорокина Елена Дмитриевна,653,2024-09-27,2077-01-01
168,Гусева Наталья Александровна,653,2024-10-27,2077-01-01
169,Морозов Илья Алексеевич,653,2024-11-26,2077-01-01
170,Никифорова Надежда Евгеньевна,653,2024-12-26,2077-01-01
171,Никифорова Елизавета Сергеевна,783,2021-11-05,2077-01-01
172,Зайцев Александр Сергеевич,30,2024-06-23,2077-01-01
173,Веселов Дмитрий Андреевич,30,2024-07-23,2077-01-01
174,Павлова Наталья Дмитриевна,495,2023-05-10,2077-01-01
175,Журавлёв Александра Дмитриевна,495,2023-06-09,2077-01-01
176,Сорокин Алексей Михайлович,495,2023-07-09,2077-01-01
177,Цветкова Валентина Сергеевна,515,2024-01-10,2077-01-01
178,Осипов Александр Алексеевич,515,2024-02-09,2077-01-01
179,Максимова Полина Андреевна,515,2024-03-10,2077-01-01
180,Титова Надежда Владимировна,515,2024-04-09,2077-01-01
181,Лебедева Варвара Сергеевна,555,2023-02-15,2077-01-01
182,Дорофеев Дмитрий Владимирович,533,2023-08-05,2077-01-01
183,Матвеева Юлия Михайловна,533,2023-09-04,2077-01-01
184,Михайлова Алёна Евгеньевна,530,2021-05-09,2077-01-01
185,Семёнова Валентина Дмитриевна,530,2021-06-08,2077-01-01
186,Осипова Кристина Дмитриевна,530,2021-07-08,2077-01-01
187,Захаров Алексей Андреевич,333,2021-08-02,2077-01-01
188,Кудрявцев Михаил Дмитриевич,333,2021-09-01,2077-01-01
189,Беляева Дарья Михайловна,333,2021-10-01,2077-01-01
190,Антонов Егор Николаевич,333,2021-10-31,2077-01-01
191,Куликов Матвей Владимирович,909,2021-09-23,2077-01-01
192,Федотова Мария Николаевна,248,2024-06-04,2077-01-01
193,Большаков Иван Евгеньевич,248,2024-07-04,2077-01-01
194,Ершова Екатерина Петровна,318,2021-03-31,2077-01-01
195,Куликов Арсений Александрович,318,2021-04-30,2077-01-01
196,Егоров Александр Петрович,318,2021-05-30,2077-01-01
197,Медведев Кирилл Петрович,586,2022-11-20,2077-01-01
198,Виноградова Надежда Евгеньевна,586,2022-12-20,2077-01-01
199,Васильева Надежда Владимировна,586,2023-01-19,2077-01-01
200,Михайлов Владимир Николаевич,586,2023-02-18,2077-01-01
201,Федотова Дарья Андреевна,129,2020-12-07,2077-01-01
202,Ершова Дарья Владимировна,849,2021-12-17,2077-01-01
203,Андреева Анна Ивановна,849,2022-01-16,2077-01-01
204,Козлов Марк Павлович,122,2021-08-08,2077-01-01
205,Тимофеева Любовь Евгеньевна,122,2021-09-07,2077-01-01
206,Гусева Екатерина Петровна,122,2021-10-07,2077-01-01
207,Полякова Галина Александровна,986,2023-03-25,2077-01-01
208,Макаров Павел Алексеевич,986,2023-04-24,2077-01-01
209,Григорьева Елизавета Михайловна,986,2023-05-24,2077-01-01
210,Морозов Егор Сергеевич,986,2023-06-23,2077-01-01
211,Белова Екатерина Владимировна,883,2021-09-11,2077-01-01
212,Александров Андрей Николаевич,285,2024-01-23,2077-01-01
213,Соловьёв София Ивановна,285,2024-02-22,2077-01-01
214,Журавлёв Владимир Владимирович,209,2023-05-12,2077-01-01
215,Ширяев Лев Петрович,209,2023-06-11,2077-01-01
216,Данилов Кирилл Дмитриевич,209,2023-07-11,2077-01-01
217,Веселова Анастасия Петровна,617,2022-03-12,2077-01-01
218,Голубева Валентина Сергеевна,617,2022-04-11,2077-01-01
219,Тарасов Александр Александрович,617,2022-05-11,2077-01-01
220,Куликов Игорь Владимирович,617,2022-06-10,2077-01-01
221,Петрова София Владимировна,942,2022-05-30,2077-01-01
222,Цветков Алексей Алексеевич,661,2022-06-04,2077-01-01
223,Ильин Владимир Михайлович,661,2022-07-04,2077-01-01
224,Александров Матвей Александрович,297,2023-05-14,2077-01-01
225,Медведев Андрей Владимирович,297,2023-06-13,2077-01-01
226,Цветков Михаил Андреевич,297,2023-07-13,2077-01-01
227,Белоусов Евгений Владимирович,456,2021-02-05,2077-01-01
228,Воробьёв Артём Петрович,456,2021-03-07,2077-01-01
229,Романова Надежда Дмитриевна,456,2021-04-06,2077-01-01
230,Белоусов Тимофей Евгеньевич,456,2021-05-06,2077-01-01
231,Дмитриева Ольга Алексеевна,165,2023-02-22,2077-01-01
232,Романов Максим Павлович,622,2021-06-03,2077-01-01
233,Александров Сергей Андреевич,622,2021-07-03,2077-01-01
234,Дорофеев Даниил Владимирович,874,2024-07-18,2077-01-01
235,Никитина Анна Алексеевна,874,2024-08-17,2077-01-01
236,Ефимов Егор Владимирович,874,2024-09-16,2077-01-01
237,Никитин Иван Александрович,687,2021-05-04,2077-01-01
238,Кудрявцева Варвара Александровна,687,2021-06-03,2077-01-01
239,Боброва Вера Петровна,687,2021-07-03,2077-01-01
240,Дорофеева Александра Евгеньевна,687,2021-08-02,2077-01-01
241,Тарасов Матвей Евгеньевич,880,2021-10-04,2077-01-01
242,Сорокина Варвара Павловна,191,2024-06-18,2077-01-01
243,Александрова Юлия Александровна,191,2024-07-18,2077-01-01
244,Кудрявцев Илья Иванович,597,2020-12-12,2077-01-01
245,Давыдова Галина Александровна,597,2021-01-11,2077-01-01
246,Виноградов Алексей Андреевич,597,2021-02-10,2077-01-01
247,Большакова Дарья Петровна,534,2024-05-16,2077-01-01
248,Соколова Виктория Владимировна,534,2024-06-15,2077-01-01
249,Никитина Кристина Михайловна,534,2024-07-15,2077-01-01
250,Петров Игорь Михайлович,534,2024-08-14,2077-01-01
251,Фролова Валентина Евгеньевна,439,2022-06-04,2077-01-01
252,Казаков Игорь Иванович,955,2024-03-09,2077-01-01
253,Цветкова Мария Владимировна,955,2024-04-08,2077-01-01
254,Киселёв Ирина Сергеевна,142,2024-07-29,2077-01-01
255,Осипов Олег Андреевич,142,2024-08-28,2077-01-01
256,Александров Илья Александрович,142,2024-09-27,2077-01-01
257,Громова Людмила Павловна,303,2021-09-29,2077-01-01
258,Белоусова Елена Петровна,303,2021-10-29,2077-01-01
259,Фёдорова Валентина Михайловна,303,2021-11-28,2077-01-01
260,Степанова Людмила Николаевна,303,2021-12-28,2077-01-01
261,Суханова Мария Николаевна,100,2024-07-01,2077-01-01
262,Рябов Егор Михайлович,706,2024-02-04,2077-01-01
263,Михайлов Александр Иванович,706,2024-03-05,2077-01-01
264,Никитин Марк Сергеевич,749,2024-01-06,2077-01-01
265,Данилова Мария Сергеевна,749,2024-02-05,2077-01-01
266,Пономарёв Виктория Павловна,749,2024-03-06,2077-01-01
267,Тарасов Константин Иванович,224,2024-09-11,2077-01-01
268,Козлова Алёна Александровна,224,2024-10-11,2077-01-01
269,Яковлева София Ивановна,224,2024-11-10,2077-01-01
270,Лазарев Павел Андреевич,224,2024-12-10,2077-01-01
271,Суханова Ирина Владимировна,632,2022-08-23,2077-01-01
272,Суханова Варвара Евгеньевна,531,2022-02-03,2077-01-01
273,Большаков Олег Алексеевич,531,2022-03-05,2077-01-01
274,Беляева Ольга Андреевна,317,2023-07-21,2077-01-01
